year,month,tool,commits,distinct_repos,distinct_developers
2025,1,devin,2093,387,372
2025,1,openai_codex,374,141,119
2025,1,aider,205,45,34
2025,1,claude,24,12,11
2025,2,devin,2294,348,332
2025,2,claude,2139,421,376
2025,2,aider,399,64,60
2025,2,openai_codex,234,87,98
2025,3,claude,23273,2612,2031
2025,3,devin,3609,392,366
2025,3,aider,347,60,48
2025,3,openai_codex,254,93,101
2025,4,claude,21703,2183,1727
2025,4,devin,3404,515,497
2025,4,openai_codex,1474,342,321
2025,4,aider,289,49,41
2025,5,claude,43017,4842,3516
2025,5,devin,6227,617,573
2025,5,openai_codex,852,357,309
2025,5,aider,278,45,40
2025,6,claude,224256,21457,14539
2025,6,devin,3435,574,531
2025,6,aider,986,114,92
2025,6,openai_codex,558,185,152
2025,7,claude,440682,40349,27349
2025,7,aider,7894,659,512
2025,7,devin,4518,637,508
2025,7,openai_codex,1037,285,234
2025,8,claude,557127,54291,36692
2025,8,aider,6737,636,513
2025,8,devin,5006,717,514
2025,8,openai_codex,1669,460,357
2025,9,claude,486418,50823,35671
2025,9,aider,5130,504,401
2025,9,devin,2320,468,361
2025,9,openai_codex,1465,455,407
2025,10,claude,170227,21182,16630
2025,10,aider,1381,163,137
2025,10,devin,615,204,159
2025,10,openai_codex,322,163,116
