year,month,total_push_events,unique_pushers,unique_repos
2024,1,97363090,3005987,6028436
2024,2,113991102,3061361,6010916
2024,3,97702982,3327731,6484055
2024,4,98327519,3548006,7181627
2024,5,90730042,3440658,6816909
2024,6,84256990,3140537,6163766
2024,7,86351143,3079509,6307081
2024,8,88740362,3080006,6230366
2024,9,88419241,3323536,6555634
2024,10,94363000,3525380,6942259
2024,11,89303679,3511374,6636934
2024,12,93567515,3391559,6460232
2025,1,103372732,3368989,6678970
2025,2,97934289,3534630,6831073
2025,3,109910258,3914126,7537944
2025,4,103264033,4004872,7714060
2025,5,94987478,4074148,7699820
2025,6,66832515,3658275,6662410
2025,7,71516129,3629383,6888334
2025,8,71718183,3558963,6670936
2025,9,71478121,3692320,6664290
2025,10,61226053,3520584,6017359
2025,11,75069424,4079585,7184025
2025,12,75625427,3984557,6954164
2026,1,74652688,3947105,7075490
2026,2,65997599,4163251,7371529
2026,3,83965677,4965692,8943072
