year,quarter,total_push_events,avg_commits_per_push,p25_commits_per_push,median_commits_per_push,p75_commits_per_push,p95_commits_per_push,stddev_commits_per_push
2020,1,51621958,2.464976551083605,1.53577165362252,2.0336930416872407,3.646845012326575,7.244951946854488,3.037585281972723
2020,2,53587498,2.5679041292200138,1.5705257642403263,1.9909560932988242,3.4674830192821853,7.368585950273758,3.0075917162252894
2020,3,55921909,2.3160894184943976,1.5601720612519063,2.017447801595711,3.513613288350523,7.11710109205362,3.29869809580472
2020,4,57828947,2.525561727547482,1.5455461294854933,1.9824503211288849,3.577569801834567,7.399808393024359,3.1708306250206726
2021,1,60148531,2.6779192634515008,1.4949451121825081,2.1065114096948516,3.587311891472942,7.484058114830633,3.1341229758074918
2021,2,61960337,2.493488088607736,1.6145996132178837,2.198915652077622,3.6793639724282317,7.685591494816159,3.388176103894861
2021,3,64035822,2.628435171761176,1.5549448152205354,1.9960739004816284,3.498015579160529,7.501808368712064,3.4557122226218917
2021,4,66242139,2.5090042717783394,1.6160751231179324,2.037829003832036,3.5286674594602836,7.646938959257951,3.3724699089753605
2022,1,67955808,2.738212279471304,1.6343874229796678,2.134716616505438,3.6654997797244735,7.617850232968627,3.387652260501504
2022,2,70128776,2.6103664816870698,1.594400608974653,2.1734470642716195,3.4876101665459966,7.985001618652154,3.6726516468575365
2022,3,71773109,2.7127989878419667,1.6601766448946012,2.1280818012523817,3.5454880245394875,7.828418681652525,3.703803656646597
2022,4,74424414,2.9785124240582688,1.8366446220244468,2.250964148786388,3.791919370847325,8.022054820901499,3.6961173766418356
2023,1,75685340,3.210353249062584,1.8609500165531074,2.3332791773163244,3.7104946129185663,7.883222501390623,3.724371128377123
2023,2,77824767,3.3622920499341378,1.9411866538487574,2.414652962282279,3.989663038371095,8.016903394795799,3.668383410319023
2023,3,80381691,3.238523536559453,1.870062955919707,2.422795972934434,4.015078588558942,8.181712445016599,3.663840194575167
2023,4,81887261,3.334336981730744,1.961608713793362,2.5436866810069776,3.950804732917438,7.563447185730959,3.8345517943888763
2024,1,84290180,3.3303734204718642,2.0657442160963004,2.4866969689884786,3.968621250849175,8.53039684028489,3.7041483079013244
2024,2,85618451,3.545755039072276,2.0562777042116918,2.464061439235048,4.057348612455079,8.538069062982307,4.146324211248529
2024,3,88398613,3.591991266464751,2.0879309934177894,2.671675774364496,4.20657937085493,7.850372257508386,4.098032856117216
2024,4,90181669,3.75672968387064,2.082510371125282,2.6012331947021528,4.217314085588925,8.439451646995092,4.138401571893268
2025,1,92469587,3.7554597344713163,2.1908468363081175,2.7056211866185804,4.2343488691242435,8.76842983900446,3.9302912936661696
2025,2,93551663,3.849965136508764,2.19482621729419,2.6424668284466937,4.226856297480603,8.521308885882169,4.1473592430635176
2025,3,95584896,3.962801284098943,2.13651505674662,2.7840989569501446,4.352645635862032,8.668725582471065,4.21771860655821
