tool,month,estimate,lo,hi,n_windows,n_draws,probe_whole_month,partial,days_covered,method
aider,2025-09,10318,10263,10318,1,3,10318,False,30,search_api_windowed_v1
aider,2025-10,9291,9222,9291,1,3,9222,False,31,search_api_windowed_v1
aider,2025-11,9745,9299,9745,1,3,9299,False,30,search_api_windowed_v1
aider,2025-12,6308,6242,6308,1,3,6242,False,31,search_api_windowed_v1
aider,2026-01,5320,5320,5320,1,3,5320,False,31,search_api_windowed_v1
aider,2026-02,6132,6130,6132,1,3,6130,False,28,search_api_windowed_v1
aider,2026-03,7679,7653,7679,1,3,7679,False,31,search_api_windowed_v1
aider,2026-04,8521,8521,8521,1,3,8521,False,30,search_api_windowed_v1
aider,2026-05,9551,9551,9551,1,3,9551,False,31,search_api_windowed_v1
aider,2026-06,7732,7563,7732,1,3,7563,False,30,search_api_windowed_v1
aider,2026-07,8908,8908,8908,1,3,8908,False,31,search_api_windowed_v1
aider,2026-08,3574,3574,3574,1,3,3574,True,15,search_api_windowed_v1
claude,2025-09,532618,507528,556942,1,3,507528,False,30,search_api_windowed_v1
claude,2025-10,953767,913666,963175,1,3,913666,False,31,search_api_windowed_v1
claude,2025-11,1116487,1097728,1121902,2,3,968545,False,30,search_api_windowed_v1
claude,2025-12,1549783,1491021,1550982,2,3,1356296,False,31,search_api_windowed_v1
claude,2026-01,3396432,3193736,3396934,3,3,2254387,False,31,search_api_windowed_v1
claude,2026-02,5439099,5395728,5449455,5,3,3302527,False,28,search_api_windowed_v1
claude,2026-03,10291623,9987189,10318239,9,3,8135850,False,31,search_api_windowed_v1
claude,2026-04,11756992,11662448,11766395,12,3,10745151,False,30,search_api_windowed_v1
claude,2026-05,13854357,13545953,13973570,13,3,4969185,False,31,search_api_windowed_v1
claude,2026-06,17436783,17015282,17469361,16,3,6754847,False,30,search_api_windowed_v1
claude,2026-07,19804129,19736348,19804946,20,3,8505525,False,31,search_api_windowed_v1
claude,2026-08,9020552,9008169,9020583,8,3,6905578,True,15,search_api_windowed_v1
copilot_agent,2025-09,143902,142440,144271,1,3,142440,False,30,search_api_windowed_v1
copilot_agent,2025-10,258100,258100,258100,1,3,258100,False,31,search_api_windowed_v1
copilot_agent,2025-11,384513,384513,384513,1,3,384513,False,30,search_api_windowed_v1
copilot_agent,2025-12,410396,410396,410396,1,3,410396,False,31,search_api_windowed_v1
copilot_agent,2026-01,470590,470590,470594,1,3,470594,False,31,search_api_windowed_v1
copilot_agent,2026-02,554710,554710,554710,1,3,554710,False,28,search_api_windowed_v1
copilot_agent,2026-03,548910,548910,548910,1,3,548910,False,31,search_api_windowed_v1
copilot_agent,2026-04,484456,484456,484456,1,3,484456,False,30,search_api_windowed_v1
copilot_agent,2026-05,321665,321665,321665,1,3,321665,False,31,search_api_windowed_v1
copilot_agent,2026-06,114992,114992,114992,1,3,114992,False,30,search_api_windowed_v1
copilot_agent,2026-07,113119,113119,113119,1,3,113119,False,31,search_api_windowed_v1
copilot_agent,2026-08,48981,48980,48981,1,3,48980,True,15,search_api_windowed_v1
copilot_coauthor,2025-09,66948,62107,66948,1,3,62107,False,30,search_api_windowed_v1
copilot_coauthor,2025-10,95958,95853,95958,1,3,95853,False,31,search_api_windowed_v1
copilot_coauthor,2025-11,110222,109354,110431,1,3,110222,False,30,search_api_windowed_v1
copilot_coauthor,2025-12,100480,100480,100480,1,3,100480,False,31,search_api_windowed_v1
copilot_coauthor,2026-01,109083,109018,109087,1,3,109083,False,31,search_api_windowed_v1
copilot_coauthor,2026-02,209495,197454,209495,1,3,197454,False,28,search_api_windowed_v1
copilot_coauthor,2026-03,430876,429339,430957,1,3,430957,False,31,search_api_windowed_v1
copilot_coauthor,2026-04,683730,625945,696384,1,3,625945,False,30,search_api_windowed_v1
copilot_coauthor,2026-05,548416,512039,557039,1,3,548416,False,31,search_api_windowed_v1
copilot_coauthor,2026-06,275517,259218,278324,1,3,275517,False,30,search_api_windowed_v1
copilot_coauthor,2026-07,273631,270583,274412,1,3,273631,False,31,search_api_windowed_v1
copilot_coauthor,2026-08,150686,150471,150686,1,3,150686,True,15,search_api_windowed_v1
devin,2025-09,6377,6377,6377,1,3,6377,False,30,search_api_windowed_v1
